structure,max_depth,score_support,min_samples_split,min_bin_exp,d,cohen,random_proj_exp,random_proj_depth,target,Weight-,Acceleration+,Mpg+,N+
16,4,4,15,0.8807855656778137,3,0.8947455022657417,0.3420013830726701,3,1,2155,16.4,30,79
26,4,3,7,0.17838724235462797,3,0.791911326437611,0.3031731899566586,3,1,2220.0,16.5,30.0,102
1,3,1,40,0.11584932487989691,2,0.24420937964508585,0.3450245480489071,4,1,1985,18.6,30,25
25,3,2,20,0.8763361016653145,4,0.7432428052567968,0.6151537286675055,5,1,2155,16.4,30,79
16,3,3,47,0.5798304702895377,1,1.432893771122149,0.4999978146788737,3,1,2234,16.1,30,203
18,5,2,25,0.5413061924411011,1,0.8767459815607409,0.4967175945432257,2,1,2234,16.1,30,203
28,4,4,45,0.6821361397853516,1,1.3050350223805205,0.4008256035287905,2,1,2234,16.1,30,203
13,3,3,36,0.6688448394754235,1,0.42948429055310144,0.43297351655626076,5,1,2155,16.4,30,79
20,2,2,27,0.3859931803665002,3,0.26116875543874307,0.5453150086441756,3,1,2155,16.4,30,79
8,4,1,15,0.7052245249880076,3,1.4958496472052267,0.6948082804103314,4,1,2234,16.1,30,203
12,5,4,11,0.43930047594879806,2,0.9682970287103008,0.32743945645425737,4,1,2155,16.4,30,79
12,2,2,48,0.31786593088106574,3,0.6033444266862946,0.32364187547981405,3,1,2155,16.4,30,79
9,4,3,15,0.17810771407805062,4,1.2217617702187529,0.47013452104635656,4,1,2578.5,16.0,30.0,312
18,3,3,6,0.3461438198940179,2,0.8083368414499797,0.6600614596603596,2,1,2234,16.1,30,203
31,3,2,32,0.600318162913974,1,0.15626874536366903,0.4885031327435604,3,1,2155,16.4,30,79
16,5,3,18,0.21733162759791239,1,1.0567057299325937,0.6568184157881204,4,1,2234,16.1,30,203
31,4,1,48,0.41902899536846483,3,1.0243567577553099,0.6618803881592114,4,1,2234,16.1,30,203
25,5,2,50,0.28071776246868324,3,0.9075369328172254,0.49978188607448704,4,1,2155,16.4,30,79
8,3,4,20,0.366249881680871,1,1.0217887105800285,0.6786261683617192,3,1,2234,16.1,30,203
3,2,4,20,0.22690346342811019,3,1.3498799287931331,0.6146804600011002,2,1,2265.0,16.0,30.0,216
13,5,1,26,0.18740897849883967,4,0.9115231217777795,0.3643286934810976,4,1,2045,16.5,30,95
3,5,1,40,0.7365868712273553,2,0.3479850342390447,0.571771901722548,5,1,2234,16.1,30,203
16,3,4,22,0.7755925828346953,1,1.2300168405705034,0.6771689129039676,5,1,2234,16.1,30,203
16,2,1,49,0.8629447934522364,1,1.1093128289664524,0.600415536445041,5,1,2155,16.4,30,79
7,5,3,26,0.18024097885575216,1,0.5634608738939693,0.40217004973989573,5,1,2155,16.5,30,73
15,3,4,27,0.757082298309831,3,0.9360572938417577,0.48174175612990605,4,1,2250.0,15.75,30.0,116
4,2,2,47,0.8812981343431031,4,0.48750949929046106,0.33872756821275435,2,1,2155,16.4,30,79
16,3,2,47,0.32519564418609,2,0.9960947028816417,0.3178874109164382,5,1,2155,16.4,30,79
13,5,2,17,0.7346775164742152,1,0.8571982501154838,0.40082822430194903,4,1,2120,16.5,30,17
29,3,1,42,0.17945410694934189,3,0.36866150348251514,0.554988646986124,3,1,2234,16.1,30,203
31,4,3,34,0.4460200693381723,2,0.7607129032017492,0.3813938951871049,3,1,2155,16.4,30,79
16,5,2,25,0.14277545311246992,3,1.264993522520883,0.5855902094657564,4,1,2234,16.1,30,203
14,5,2,35,0.5408420405252777,1,1.267044840300194,0.5202372577296958,5,1,2155,16.4,30,79
31,2,3,13,0.17640114869228496,3,1.0491015108184216,0.5798792508630055,5,1,2265.0,16.0,30.0,216
26,4,2,24,0.2530762198137014,1,1.3958652919827192,0.6505572033979085,5,1,2265.0,16.0,30.0,216
22,3,2,41,0.11215135891056659,3,0.20801634141658695,0.5418455628214949,4,1,2234,16.1,30,203
1,3,2,34,0.6776287567987654,2,0.9866050048006176,0.5253406167554382,2,1,2234,16.1,30,203
28,5,2,10,0.652492158185861,4,1.4290352914357896,0.6709116990576279,2,1,2234,16.1,30,203
14,2,3,28,0.7923588278259447,1,0.6764300926615773,0.3882290974380272,4,1,2135,16.5,30,87
4,2,2,32,0.11577341693583287,1,0.32361381208933226,0.46094859098168844,3,1,2234,16.1,30,203
22,2,2,11,0.8515533132467675,1,1.2577580439372784,0.45805541031645924,5,1,2155,16.4,30,79
17,3,1,12,0.7665207792133311,3,0.37450222526630694,0.6231070117151059,4,1,2234,16.1,30,203
7,4,2,28,0.5032391940100612,1,0.6573967532643435,0.33591048793800826,3,1,2164,16.5,30,33
24,3,2,7,0.7151265851181196,1,1.190563701913713,0.4157075070506378,2,1,2234,16.1,30,203
27,4,2,47,0.10784932554246592,1,0.48629018016978354,0.6357730472249585,5,1,2250.0,15.75,30.0,116
17,5,2,27,0.7581376233167789,2,0.7595612168879808,0.5946203569541078,4,1,2096.5,20.0,30.0,18
7,2,3,24,0.7814961988635512,2,1.2162065941624356,0.3149300086366661,3,1,2385,16.5,30,135
18,5,4,18,0.6907379488093508,1,0.6396355039684173,0.429844154611116,2,1,2234,16.1,30,203
18,3,2,8,0.5060625578355402,3,0.5393378113072638,0.523172465348368,5,1,2155,16.4,30,79
16,5,3,36,0.1723044279879601,1,0.2770297691275011,0.4760009468571658,5,1,2096.5,15.3,30.0,26
8,5,2,15,0.5791181432312578,3,0.3116533098548403,0.6971251186472605,4,1,2234,16.1,30,203
18,2,4,35,0.24507979619131595,3,0.9598235417152755,0.5023991927780413,3,1,2155,16.4,30,79
28,4,2,47,0.8985801428445097,4,0.70900315634878,0.33477464568146487,3,1,2155,16.4,30,79
8,2,2,28,0.23849575692282024,3,0.9556017805662695,0.382939838413875,4,1,2155,16.4,30,79
19,3,2,17,0.5191699229525545,4,0.6574988442247643,0.4458321656392148,2,1,2265.0,16.0,30.0,216
8,2,1,43,0.16412672094914404,1,0.3620035955290398,0.500138535491665,2,1,2234,16.1,30,203
22,3,4,34,0.5693857177082865,2,0.540051960550203,0.4476602026891734,4,1,1995.0,15.9,30.0,28
19,5,3,12,0.39278386766007944,1,0.9844232068936521,0.4475992296600309,3,1,2283.0,15.95,30.0,50
13,4,4,31,0.20684117698794166,2,0.19928521781615577,0.3884082762016634,4,1,2155,16.4,30,79
8,2,1,7,0.7032359023545144,3,0.8006391440142967,0.4279535919494112,2,1,2234,16.1,30,203
